5220.2s 174 [Epoch 89/150: batch 90/179] [DLoss: 0.010, GLoss: 14.606, cGanLoss: 10.953, L1Loss: 0.037]
5250.7s 175 [Epoch 89/150: batch 100/179] [DLoss: 0.009, GLoss: 13.016, cGanLoss: 9.023, L1Loss: 0.040]
5281.2s 176 [Epoch 89/150: batch 110/179] [DLoss: 0.001, GLoss: 12.338, cGanLoss: 8.540, L1Loss: 0.038]
5311.5s 177 [Epoch 89/150: batch 120/179] [DLoss: 0.067, GLoss: 10.842, cGanLoss: 7.111, L1Loss: 0.037]
5341.9s 178 [Epoch 89/150: batch 130/179] [DLoss: 0.003, GLoss: 11.975, cGanLoss: 7.867, L1Loss: 0.041]
5372.4s 179 [Epoch 89/150: batch 140/179] [DLoss: 0.001, GLoss: 13.437, cGanLoss: 9.813, L1Loss: 0.036]
5403.5s 180 [Epoch 89/150: batch 150/179] [DLoss: 0.009, GLoss: 11.227, cGanLoss: 7.344, L1Loss: 0.039]
5434.0s 181 [Epoch 89/150: batch 160/179] [DLoss: 0.004, GLoss: 13.740, cGanLoss: 10.085, L1Loss: 0.037]
5464.6s 182 [Epoch 89/150: batch 170/179] [DLoss: 0.012, GLoss: 11.547, cGanLoss: 7.734, L1Loss: 0.038]
5492.2s 183 [Epoch 90/150: batch 0/179] [DLoss: 0.053, GLoss: 8.898, cGanLoss: 5.305, L1Loss: 0.036]
5522.7s 184 [Epoch 90/150: batch 10/179] [DLoss: 0.002, GLoss: 13.768, cGanLoss: 10.207, L1Loss: 0.036]
5553.3s 185 [Epoch 90/150: batch 20/179] [DLoss: 0.013, GLoss: 10.102, cGanLoss: 6.233, L1Loss: 0.039]
5583.9s 186 [Epoch 90/150: batch 30/179] [DLoss: 0.004, GLoss: 11.162, cGanLoss: 7.436, L1Loss: 0.037]
5614.4s 187 [Epoch 90/150: batch 40/179] [DLoss: 0.001, GLoss: 12.583, cGanLoss: 8.977, L1Loss: 0.036]
5644.7s 188 [Epoch 90/150: batch 50/179] [DLoss: 0.011, GLoss: 15.949, cGanLoss: 12.130, L1Loss: 0.038]
5675.8s 189 [Epoch 90/150: batch 60/179] [DLoss: 0.007, GLoss: 10.279, cGanLoss: 6.239, L1Loss: 0.040]
5706.4s 190 [Epoch 90/150: batch 70/179] [DLoss: 0.004, GLoss: 11.971, cGanLoss: 8.266, L1Loss: 0.037]
5736.9s 191 [Epoch 90/150: batch 80/179] [DLoss: 0.002, GLoss: 11.848, cGanLoss: 7.991, L1Loss: 0.039]
5767.5s 192 [Epoch 90/150: batch 90/179] [DLoss: 0.002, GLoss: 13.918, cGanLoss: 10.344, L1Loss: 0.036]
5798.0s 193 [Epoch 90/150: batch 100/179] [DLoss: 0.005, GLoss: 10.143, cGanLoss: 6.349, L1Loss: 0.038]
5828.6s 194 [Epoch 90/150: batch 110/179] [DLoss: 0.001, GLoss: 11.973, cGanLoss: 8.143, L1Loss: 0.038]
5859.1s 195 [Epoch 90/150: batch 120/179] [DLoss: 0.001, GLoss: 12.557, cGanLoss: 9.124, L1Loss: 0.034]
5889.4s 196 [Epoch 90/150: batch 130/179] [DLoss: 0.001, GLoss: 10.421, cGanLoss: 6.803, L1Loss: 0.036]
5920.7s 197 [Epoch 90/150: batch 140/179] [DLoss: 0.010, GLoss: 13.687, cGanLoss: 10.118, L1Loss: 0.036]
5951.2s 198 [Epoch 90/150: batch 150/179] [DLoss: 0.017, GLoss: 11.337, cGanLoss: 7.639, L1Loss: 0.037]
